Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
SNAG11,"Renda Variavel","R$ 57,60",25/07/2023,14/07/2023,"1.19 %","1.19 %","R$ 1,20"
BCFF11,"Renda Variavel","R$ 125,44",14/07/2023,07/07/2023,"0.81 %","0.77 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 157,04",14/07/2023,30/06/2023,"1.02 %","0.95 %","R$ 1,51"
MXRF11,"Renda Variavel","R$ 120,00",14/07/2023,30/06/2023,"1.15 %","1.10 %","R$ 0,12"
RBFF11,"Renda Variavel","R$ 112,89",14/07/2023,30/06/2023,"0.95 %","0.90 %","R$ 0,53"
RBVA11,"Renda Variavel","R$ 118,00",14/07/2023,30/06/2023,"1.01 %","0.94 %","R$ 1,00"
RZAG11,"Renda Variavel","R$ 69,12",14/07/2023,30/06/2023,"1.32 %","1.33 %","R$ 0,13"
TGAR11,"Renda Variavel","R$ 82,80",14/07/2023,30/06/2023,"1.17 %","1.13 %","R$ 1,38"
VISC11,"Renda Variavel","R$ 73,10",14/07/2023,30/06/2023,"0.78 %","0.71 %","R$ 0,85"
XPLG11,"Renda Variavel","R$ 50,56",14/07/2023,30/06/2023,"0.74 %","0.69 %","R$ 0,79"
GGRC11,"Renda Variavel","R$ 14,70",10/07/2023,03/07/2023,"0.86 %","0.85 %","R$ 1,05"
HSML11,"Renda Variavel","R$ 14,06",07/07/2023,30/06/2023,"0.80 %","0.79 %","R$ 0,74"
SAPR4,"(Não atribuído)","R$ 13,32",27/06/2023,30/06/2022,"2.34 %","2.39 %","R$ 0,09"
SNAG11,"Renda Variavel","R$ 40,80",23/06/2023,15/06/2023,"1.19 %","1.19 %","R$ 1,20"
BCFF11,"Renda Variavel","R$ 96,88",15/06/2023,07/06/2023,"0.80 %","0.81 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 52,25",15/06/2023,31/05/2023,"0.67 %","0.62 %","R$ 0,95"
MXRF11,"Renda Variavel","R$ 74,76",15/06/2023,31/05/2023,"1.18 %","1.12 %","R$ 0,12"
RBFF11,"Renda Variavel","R$ 41,31",15/06/2023,31/05/2023,"0.94 %","0.93 %","R$ 0,51"
RBVA11,"Renda Variavel","R$ 47,50",15/06/2023,31/05/2023,"1.00 %","0.96 %","R$ 0,95"
RZAG11,"Renda Variavel","R$ 20,37",15/06/2023,31/05/2023,"1.27 %","1.34 %","R$ 0,13"
TGAR11,"Renda Variavel","R$ 35,36",15/06/2023,31/05/2023,"1.18 %","1.12 %","R$ 1,36"
